2009-11-05 02:10:36 Notice: Notice (8): Undefined property: Funcionario::$Auth in [/Applications/MAMP/htdocs/ponto/app/models/funcionario.php, line 60]
2009-11-05 02:12:35 Notice: Notice (8): Undefined variable: confirmaHashed in [/Applications/MAMP/htdocs/ponto/app/models/funcionario.php, line 65]
2009-11-05 02:17:36 Notice: Notice (8): Undefined variable: confirmaHashed in [/Applications/MAMP/htdocs/ponto/app/models/funcionario.php, line 67]
2009-11-05 02:18:17 Notice: Notice (8): Undefined variable: senhaSemHash in [/Applications/MAMP/htdocs/ponto/app/models/funcionario.php, line 61]
2009-11-05 02:30:59 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/ponto/app/views/funcionarios/add.ctp, line 1]
2009-11-05 02:31:20 Notice: Notice (8): Undefined property: View::$Funcionarios in [/Applications/MAMP/htdocs/ponto/app/views/funcionarios/add.ctp, line 1]
2009-11-05 02:31:20 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/ponto/app/views/funcionarios/add.ctp, line 1]
2009-11-05 02:31:26 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/ponto/app/views/funcionarios/add.ctp, line 1]
2009-11-05 02:31:28 Notice: Notice (8): Undefined property: View::$Sessions in [/Applications/MAMP/htdocs/ponto/app/views/funcionarios/add.ctp, line 1]
2009-11-05 02:31:31 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/ponto/app/views/funcionarios/add.ctp, line 1]
2009-11-05 14:36:40 Notice: Notice (8): Undefined index:  senha in [/Applications/MAMP/htdocs/ponto/app/controllers/funcionarios_controller.php, line 82]
2009-11-05 14:48:22 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 286]
2009-11-05 14:48:26 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 286]
2009-11-05 16:13:10 Notice: Notice (8): Undefined index:  data in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 25]
2009-11-05 16:44:01 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/ponto/app/controllers/justificativas_controller.php, line 36]
2009-11-05 16:44:36 Notice: Notice (8): Undefined variable: id in [/Applications/MAMP/htdocs/ponto/app/controllers/justificativas_controller.php, line 19]
2009-11-05 16:49:41 Notice: Notice (8): Undefined variable: funcionario_id in [/Applications/MAMP/htdocs/ponto/app/views/justificativas/edit.ctp, line 13]
2009-11-05 16:53:11 Notice: Notice (8): Undefined property: Justificativa::$funcionario_od in [/Applications/MAMP/htdocs/ponto/app/controllers/justificativas_controller.php, line 17]
